date,description,merchant,amount,category
2025-10-01,NETFLIX.COM,NETFLIX,-15.99,subscriptions
2025-10-02,STEAM PURCHASE,STEAM GAMES,-59.99,games
2025-10-03,KAISER COPAY,KAISER,-30.00,medical
2025-10-04,SPOTIFY PREMIUM,SPOTIFY,-9.99,subscriptions
2025-10-05,WALMART GROCERY,WALMART,-125.50,shopping
2025-10-06,VENMO TRANSFER,VENMO,-50.00,transfers
2025-10-07,AMAZON PRIME,AMAZON,-14.99,subscriptions
2025-10-08,PLAYSTATION STORE,PLAYSTATION,-29.99,games
2025-10-09,CVS PHARMACY,CVS,-15.75,medical
2025-10-10,NETFLIX.COM,NETFLIX,-15.99,subscriptions
