"date","description","merchant","amount","category"
"2025-10-13","CLOUDFLARE CLOUDFLARE.CO","CLOUDFLARE","-14.20","saas_infra"
"2025-10-13","CASH APP*KBB","CASH APP KBB","-20.00","transfer_p2p"
"2025-10-13","HARRIS TEETER #0085","HARRIS TEETER","-22.37","groceries"
"2025-10-13","CASH APP*AVERY ISLER","CASH APP AVERY ISLER","-25.00","transfer_p2p"
"2025-10-13","LYFT *RIDE","LYFT","-29.99","ride_share"
"2025-10-14","RUNWAY STANDARD PLAN","RUNWAY","-15.00","subscriptions_software"
"2025-10-14","LYFT *RIDE","LYFT","-29.68","ride_share"
"2025-10-15","MESHY MESHY.AI","MESHY","-20.00","subscriptions_software"
"2025-10-16","Zelle To Conal Miner","ZELLE","-47.00","transfer_p2p"
"2025-10-17","CLOUDFLARE CLOUDFLARE.CO","CLOUDFLARE","-10.46","saas_infra"
"2025-10-17","JOBCOPILOT","JOBCOPILOT","-12.90","subscriptions_software"
"2025-10-17","APPLE.COM/BILL","APPLE","-19.99","subscriptions_digital"
"2025-10-18","DD *DOORDASH WINGSTOP","DOORDASH WINGSTOP","-41.29","restaurant_delivery"
"2025-10-18","HARRIS TEETER #0085","HARRIS TEETER","-61.25","groceries"
"2025-10-19","HARRIS TEETER #0085","HARRIS TEETER","-13.08","groceries"
"2025-10-20","Adobe Park Avenue","ADOBE","-34.49","subscriptions_software"
"2025-10-20","HARRIS TEETER #0085","HARRIS TEETER","-37.88","groceries"
"2025-10-21","HARRIS TEETER #0085","HARRIS TEETER","-12.10","groceries"
"2025-10-21","HARRIS TEETER #0085","HARRIS TEETER","-13.82","groceries"
"2025-10-21","ATI*1265 ATM.TK","ATI ATM","-5.00","cash_withdrawal"
"2025-10-22","CVS/PHARMACY #02006","CVS","-0.31","shopping_misc"
"2025-10-22","5GUYS 0127","FIVE GUYS","-13.24","restaurant"
"2025-10-22","CVS/PHARMACY #02006","CVS","-19.07","shopping_misc"
"2025-10-22","CapCut","CAPCUT","-19.99","subscriptions_software"
"2025-10-22","CLAUDE.AI SUBSCRIPTION","CLAUDE AI","-20.00","saas_ai"
"2025-10-22","Spotify","SPOTIFY","-5.99","subscriptions_music"
"2025-10-22","FAIRFAX TOWNE CENTER","FAIRFAX TOWNE CENTER","-6.87","shopping_misc"
"2025-10-23","CVS/PHARMACY #02006","CVS","-0.31","shopping_misc"
"2025-10-24","PLAYSTATION PLAYSTATION.COM","PLAYSTATION","-0.16","games"
"2025-10-24","JOBCOPILOT","JOBCOPILOT","-12.90","subscriptions_software"
"2025-10-24","PlayStation Network","PLAYSTATION","-14.99","games"
"2025-10-24","HARRIS TEETER #0085","HARRIS TEETER","-40.32","groceries"
"2025-10-25","AMBASSADE DE FRANCE","AMBASSADE DE FRANCE","-112.54","restaurant"
"2025-10-25","TARGET T-1088","TARGET","-22.25","shopping_misc"
"2025-10-25","LYFT *RIDE","LYFT","-33.30","ride_share"
"2025-10-25","UBER *TRIP","UBER","-38.38","ride_share"
"2025-10-27","DD *DOORDASH PAISANOS","DOORDASH PAISANOS","-13.72","restaurant_delivery"
"2025-10-27","Zelle To Conal Miner","ZELLE","-21.00","transfer_p2p"
"2025-10-27","TST*NED DEVINES IRISH","NED DEVINES","-22.32","restaurant"
"2025-10-27","HARRIS TEETER #0085","HARRIS TEETER","-29.70","groceries"
"2025-10-28","Zelle To Conal Miner","ZELLE","-161.65","transfer_p2p"
"2025-10-28","AMAZON.COM","AMAZON","-472.75","shopping_online"
"2025-10-29","DD *DOORDASH POPEYES","DOORDASH POPEYES","-12.48","restaurant_delivery"
"2025-10-30","AMAZON PRIME","AMAZON PRIME","-14.99","subscriptions_digital"
"2025-10-30","HARRIS TEETER #0085","HARRIS TEETER","-15.12","groceries"
"2025-10-31","JOBCOPILOT","JOBCOPILOT","-12.90","subscriptions_software"
"2025-10-31","WINGSTOP 2493","WINGSTOP","-19.74","restaurant"
"2025-10-31","HARRIS TEETER #0085","HARRIS TEETER","-22.00","groceries"
"2025-10-31","PLAYSTATION PLAYSTATION.COM","PLAYSTATION","-39.99","games"
"2025-10-31","HARRIS TEETER #0085","HARRIS TEETER","-4.04","groceries"
"2025-10-31","TMOBILE AU","TMOBILE","-93.54","utilities_internet"
"2025-11-01","EB *DEVILS NIGHT","DEVILS NIGHT","-43.97","restaurant"
"2025-11-02","Zelle To MAYUR SOLANKI","ZELLE","-1200.00","transfer_p2p"
"2025-11-03","Google CLOUD","GOOGLE CLOUD","-0.15","subscriptions_software"
"2025-11-03","HARRIS TEETER #0085","HARRIS TEETER","-10.59","groceries"
"2025-11-03","Zelle To AMMAN KHORSANDI","ZELLE","-15.00","transfer_p2p"
"2025-11-03","EY-www.hitpaw.com","HITPAW","-23.99","subscriptions_software"
"2025-11-03","GITHUB INC","GITHUB","-39.00","subscriptions_software"
"2025-11-05","POTBELLY POTBELLY.COM","POTBELLY","-17.45","restaurant"
"2025-11-07","LinkedInPremium","LINKEDIN","-29.99","subscriptions_professional"
"2025-11-07","DISCOVER DC PYMNTS","DISCOVER","-40.00","credit_card_payment"
"2025-11-07","PLAYSTATION PLAYSTATION.COM","PLAYSTATION","-79.99","games"
"2025-11-08","MICROSOFT*MICROSOFT 365","MICROSOFT","-9.99","subscriptions_software"
"2025-11-10","AMAZON MKTPL","AMAZON","-103.25","shopping_online"
"2025-11-10","DD *DOORDASH POPEYES","DOORDASH POPEYES","-12.48","restaurant_delivery"
"2025-11-11","IHOP #2009","IHOP","-22.59","restaurant"
"2025-11-11","Adobe Park Avenue","ADOBE","-29.99","subscriptions_software"
"2025-11-11","HARRIS TEETER #0085","HARRIS TEETER","-3.83","groceries"
"2025-11-11","HARRIS TEETER #0085","HARRIS TEETER","-35.60","groceries"
"2025-11-11","HARRIS TEETER #0085","HARRIS TEETER","-46.29","groceries"
"2025-11-12","APPLE.COM/BILL","APPLE","-2.99","subscriptions_digital"
"2025-11-12","COLUMBIA GAS OF VIRGINIA","COLUMBIA GAS OF VIRGINIA","-41.75","utilities_gas"
